Rater,Session,Treatment,Time (Recording),Time (Session),S1,S2,S3,S4,S5,S6,S7
Author 3,H01T1,Hypothesis,0:14:12,0:00:00,,X,,,,,
Author 3,H01T1,Hypothesis,0:14:42,0:00:30,,X,,,,,
Author 3,H01T1,Hypothesis,0:15:12,0:01:00,,X,,,,X,
Author 3,H01T1,Hypothesis,0:15:42,0:01:30,,X,,,,,
Author 3,H01T1,Hypothesis,0:16:12,0:02:00,,X,,,,,
Author 3,H01T1,Hypothesis,0:16:42,0:02:30,,X,,,,,
Author 3,H01T1,Hypothesis,0:17:12,0:03:00,,X,,,,,
Author 3,H01T1,Hypothesis,0:17:42,0:03:30,,X,,,,,
Author 3,H01T1,Hypothesis,0:18:12,0:04:00,,X,,,,,
Author 3,H01T1,Hypothesis,0:18:42,0:04:30,,X,,,,,
Author 3,H01T1,Hypothesis,0:19:12,0:05:00,,X,,,,,
Author 3,H01T1,Hypothesis,0:19:42,0:05:30,,X,,,,,
Author 3,H01T1,Hypothesis,0:20:12,0:06:00,,X,,,,,
Author 3,H01T1,Hypothesis,0:20:42,0:06:30,,X,,,,,
Author 3,H01T1,Hypothesis,0:21:12,0:07:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:21:42,0:07:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:22:12,0:08:00,,,,X,X,X,
Author 3,H01T1,Hypothesis,0:22:42,0:08:30,,,,,,X,
Author 3,H01T1,Hypothesis,0:23:12,0:09:00,,X,,,,,
Author 3,H01T1,Hypothesis,0:23:42,0:09:30,,X,,,,,
Author 3,H01T1,Hypothesis,0:24:12,0:10:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:24:42,0:10:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:25:12,0:11:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:25:42,0:11:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:26:12,0:12:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:26:42,0:12:30,,,X,X,,,
Author 3,H01T1,Hypothesis,0:27:12,0:13:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:27:42,0:13:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:28:12,0:14:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:28:42,0:14:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:29:12,0:15:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:29:42,0:15:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:30:12,0:16:00,,,,X,X,X,
Author 3,H01T1,Hypothesis,0:30:42,0:16:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:31:12,0:17:00,,,,,X,X,
Author 3,H01T1,Hypothesis,0:31:42,0:17:30,,,,X,,X,
Author 3,H01T1,Hypothesis,0:32:12,0:18:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:32:42,0:18:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:33:12,0:19:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:33:42,0:19:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:34:12,0:20:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:34:42,0:20:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:35:12,0:21:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:35:42,0:21:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:36:12,0:22:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:36:42,0:22:30,,,,X,X,X,
Author 3,H01T1,Hypothesis,0:37:12,0:23:00,,,,X,,X,
Author 3,H01T1,Hypothesis,0:37:42,0:23:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:38:12,0:24:00,,,,X,X,,X
Author 3,H01T1,Hypothesis,0:38:42,0:24:30,,,,,,,X
Author 3,H01T1,Hypothesis,0:39:12,0:25:00,,X,,,,,X
Author 3,H01T1,Hypothesis,0:39:42,0:25:30,,X,,,,X,
Author 3,H01T1,Hypothesis,0:40:12,0:26:00,,,,X,,X,
Author 3,H01T1,Hypothesis,0:40:42,0:26:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:41:12,0:27:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:41:42,0:27:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:42:12,0:28:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:42:42,0:28:30,,,,X,,,
Author 3,H01T1,Hypothesis,0:43:12,0:29:00,,,,X,,,
Author 3,H01T1,Hypothesis,0:43:42,0:29:30,,,,X,,,
Author 3,H01T2,Hypothesis,0:48:58,0:00:00,,X,,,,,
Author 3,H01T2,Hypothesis,0:49:28,0:00:30,,X,,,,,
Author 3,H01T2,Hypothesis,0:49:58,0:01:00,,X,,,,,
Author 3,H01T2,Hypothesis,0:50:28,0:01:30,,X,,,,X,
Author 3,H01T2,Hypothesis,0:50:58,0:02:00,,X,,,,,
Author 3,H01T2,Hypothesis,0:51:28,0:02:30,,X,,,,,
Author 3,H01T2,Hypothesis,0:51:58,0:03:00,,X,,,,,
Author 3,H01T2,Hypothesis,0:52:28,0:03:30,,X,X,,,,
Author 3,H01T2,Hypothesis,0:52:58,0:04:00,,X,,X,,,
Author 3,H01T2,Hypothesis,0:53:28,0:04:30,,,,X,,,
Author 3,H01T2,Hypothesis,0:53:58,0:05:00,,,,X,,,
Author 3,H01T2,Hypothesis,0:54:28,0:05:30,,,,X,,,
Author 3,H01T2,Hypothesis,0:54:58,0:06:00,,,,X,X,,
Author 3,H01T2,Hypothesis,0:55:28,0:06:30,,X,,,,X,
Author 3,H01T2,Hypothesis,0:55:58,0:07:00,,X,,X,,,
Author 3,H01T2,Hypothesis,0:56:28,0:07:30,,X,,,,,
Author 3,H01T2,Hypothesis,0:56:58,0:08:00,,X,,,,,
Author 3,H01T2,Hypothesis,0:57:28,0:08:30,,,,X,,,
Author 3,H01T2,Hypothesis,0:57:58,0:09:00,,,,X,,,
Author 3,H01T2,Hypothesis,0:58:28,0:09:30,,,,X,,,
Author 3,H01T2,Hypothesis,0:58:58,0:10:00,,,,X,,,
Author 3,H01T2,Hypothesis,0:59:28,0:10:30,,X,,,,,
Author 3,H01T2,Hypothesis,0:59:58,0:11:00,,X,,X,,,
Author 3,H01T2,Hypothesis,1:00:28,0:11:30,,X,,,,,
Author 3,H01T2,Hypothesis,1:00:58,0:12:00,,X,,X,,,
Author 3,H01T2,Hypothesis,1:01:28,0:12:30,,X,,,,,
Author 3,H01T2,Hypothesis,1:01:58,0:13:00,,X,,,,,
Author 3,H01T2,Hypothesis,1:02:28,0:13:30,,X,,,,,
Author 3,H01T2,Hypothesis,1:02:58,0:14:00,,X,,,,,
Author 3,H01T2,Hypothesis,1:03:28,0:14:30,,X,,,,,
Author 3,H01T2,Hypothesis,1:03:58,0:15:00,,X,,,,,
Author 3,H01T2,Hypothesis,1:04:28,0:15:30,,X,,,,,
Author 3,H01T2,Hypothesis,1:04:58,0:16:00,,X,,,,,
Author 3,H01T2,Hypothesis,1:05:28,0:16:30,,X,,X,,,
Author 3,H01T2,Hypothesis,1:05:58,0:17:00,,,X,X,,,
Author 3,H01T2,Hypothesis,1:06:28,0:17:30,,,X,X,,,
Author 3,H01T2,Hypothesis,1:06:58,0:18:00,,,,X,,,
Author 3,H01T2,Hypothesis,1:07:28,0:18:30,,,,X,,,
Author 3,H01T2,Hypothesis,1:07:58,0:19:00,,,X,X,X,X,
Author 3,H01T2,Hypothesis,1:08:28,0:19:30,,X,,,,,
Author 3,H01T2,Hypothesis,1:08:58,0:20:00,,X,,X,,,
Author 3,H01T2,Hypothesis,1:09:28,0:20:30,,,,X,X,X,
Author 3,H01T2,Hypothesis,1:09:58,0:21:00,,,,,,,X
Author 3,H01T2,Hypothesis,1:10:28,0:21:30,,,,,,,X
Author 3,H01T2,Hypothesis,1:10:58,0:22:00,,,,,,,X
Author 3,H01T2,Hypothesis,1:11:28,0:22:30,,,,,,,X
Author 3,H01T2,Hypothesis,1:11:58,0:23:00,,X,,,,,X
Author 3,H01T2,Hypothesis,1:12:28,0:23:30,,X,,,,,
Author 3,H01T2,Hypothesis,1:12:58,0:24:00,,X,,,,,
Author 3,H01T2,Hypothesis,1:13:28,0:24:30,,X,,,,,
Author 3,H01T2,Hypothesis,1:13:58,0:25:00,,,X,,,,
Author 3,H01T2,Hypothesis,1:14:28,0:25:30,,,X,X,,,
Author 3,H01T2,Hypothesis,1:14:58,0:26:00,,,,X,,,
Author 3,H01T2,Hypothesis,1:15:28,0:26:30,,,,X,,,
Author 3,H01T2,Hypothesis,1:15:58,0:27:00,,,,X,,,
Author 3,H01T2,Hypothesis,1:16:28,0:27:30,,,,X,,,
Author 3,H01T2,Hypothesis,1:16:58,0:28:00,,,,X,,,
Author 3,H01T2,Hypothesis,1:17:28,0:28:30,,X,,X,,,
Author 3,H01T2,Hypothesis,1:17:58,0:29:00,,,,X,,,
Author 3,H01T2,Hypothesis,1:18:28,0:29:30,,,,X,,,
Author 3,H01T2,Hypothesis,1:18:58,0:30:00,,,,X,,,
Author 3,H02T1,Hypothesis,0:24:42,0:00:00,,X,,,,,
Author 3,H02T1,Hypothesis,0:25:12,0:00:30,,X,X,,,,
Author 3,H02T1,Hypothesis,0:25:42,0:01:00,,X,X,,,,
Author 3,H02T1,Hypothesis,0:26:12,0:01:30,,X,,,X,X,
Author 3,H02T1,Hypothesis,0:26:42,0:02:00,,,,,X,X,
Author 3,H02T1,Hypothesis,0:27:12,0:02:30,,X,,,,X,
Author 3,H02T1,Hypothesis,0:27:42,0:03:00,,,,,X,X,
Author 3,H02T1,Hypothesis,0:28:12,0:03:30,,,,,,X,
Author 3,H02T1,Hypothesis,0:28:42,0:04:00,,,,,,X,
Author 3,H02T1,Hypothesis,0:29:12,0:04:30,,,,,,X,
Author 3,H02T1,Hypothesis,0:29:42,0:05:00,,,,,,X,
Author 3,H02T1,Hypothesis,0:30:12,0:05:30,,,,,,X,
Author 3,H02T1,Hypothesis,0:30:42,0:06:00,,,X,X,X,,
Author 3,H02T1,Hypothesis,0:31:12,0:06:30,,,,,,,X
Author 3,H02T1,Hypothesis,0:31:42,0:07:00,,,,X,,,
Author 3,H02T1,Hypothesis,0:32:12,0:07:30,,X,,,,,
Author 3,H02T1,Hypothesis,0:32:42,0:08:00,,X,,,,,
Author 3,H02T2,Hypothesis,0:40:33,0:00:00,,X,,,,,
Author 3,H02T2,Hypothesis,0:41:03,0:00:30,,X,,,,,
Author 3,H02T2,Hypothesis,0:41:33,0:01:00,,X,,,,,
Author 3,H02T2,Hypothesis,0:42:03,0:01:30,,X,,,,,
Author 3,H02T2,Hypothesis,0:42:33,0:02:00,,X,,,,,
Author 3,H02T2,Hypothesis,0:43:03,0:02:30,,X,,,,,
Author 3,H02T2,Hypothesis,0:43:33,0:03:00,,X,,,,,
Author 3,H02T2,Hypothesis,0:44:03,0:03:30,,X,,X,,X,
Author 3,H02T2,Hypothesis,0:44:33,0:04:00,,,,X,X,X,
Author 3,H02T2,Hypothesis,0:45:03,0:04:30,,,,X,X,X,
Author 3,H02T2,Hypothesis,0:45:33,0:05:00,,,,X,X,X,
Author 3,H02T2,Hypothesis,0:46:03,0:05:30,,X,,X,X,X,
Author 3,H02T2,Hypothesis,0:46:33,0:06:00,,X,,X,X,X,
Author 3,H02T2,Hypothesis,0:47:03,0:06:30,,X,,X,,,
Author 3,H02T2,Hypothesis,0:47:33,0:07:00,,X,,,X,X,
Author 3,H02T2,Hypothesis,0:48:03,0:07:30,,,,X,X,X,
Author 3,H02T2,Hypothesis,0:48:33,0:08:00,,X,,X,X,X,
Author 3,H02T2,Hypothesis,0:49:03,0:08:30,,X,,,X,X,
Author 3,H02T2,Hypothesis,0:49:33,0:09:00,,,,X,X,X,
Author 3,H02T2,Hypothesis,0:50:03,0:09:30,,,,,,X,X
Author 3,H02T2,Hypothesis,0:50:33,0:10:00,,,,X,X,X,
Author 3,H02T2,Hypothesis,0:51:03,0:10:30,,,,X,X,X,
Author 3,H02T2,Hypothesis,0:51:33,0:11:00,,,,X,,,
Author 3,H02T2,Hypothesis,0:52:03,0:11:30,,X,,X,,,
Author 3,H02T2,Hypothesis,0:52:33,0:12:00,,X,,,,,
Author 3,H02T2,Hypothesis,0:53:03,0:12:30,,X,,,,,
Author 3,H02T2,Hypothesis,0:53:33,0:13:00,,X,,,,,
Author 3,H02T2,Hypothesis,0:54:03,0:13:30,,X,,,,,
