Session,Treatment,Iteration,Time (Recording),Time (Session),no step,S1,S2,S3,S4,S5,S6,S7
H01T1,Hypothesis,1,0:14:12,0:00:00,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:14:42,0:00:30,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:15:12,0:01:00,,,0:00:21,,,,,
H01T1,Hypothesis,1,0:15:33,0:01:21,,,,,,,0:00:09,
H01T1,Hypothesis,1,0:15:42,0:01:30,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:16:12,0:02:00,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:16:42,0:02:30,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:17:12,0:03:00,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:17:42,0:03:30,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:18:12,0:04:00,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:18:42,0:04:30,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:19:12,0:05:00,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:19:42,0:05:30,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:20:12,0:06:00,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:20:42,0:06:30,,,0:00:30,,,,,
H01T1,Hypothesis,1,0:21:12,0:07:00,,,,,0:00:30,,,
H01T1,Hypothesis,1,0:21:42,0:07:30,,,,,0:00:30,,,
H01T1,Hypothesis,1,0:22:12,0:08:00,,,,,0:00:14,,,
H01T1,Hypothesis,1,0:22:26,0:08:14,,,,,,0:00:04,,
H01T1,Hypothesis,1,0:22:30,0:08:18,,,,,,,0:00:12,
H01T1,Hypothesis,1,0:22:42,0:08:30,,,,,,,0:00:30,
H01T1,Hypothesis,2,0:23:12,0:09:00,,,0:00:30,,,,,
H01T1,Hypothesis,2,0:23:42,0:09:30,,,0:00:30,,,,,
H01T1,Hypothesis,2,0:24:12,0:10:00,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:24:42,0:10:30,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:25:12,0:11:00,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:25:42,0:11:30,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:26:12,0:12:00,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:26:42,0:12:30,,,,0:00:15,,,,
H01T1,Hypothesis,2,0:26:57,0:12:45,,,,,0:00:15,,,
H01T1,Hypothesis,2,0:27:12,0:13:00,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:27:42,0:13:30,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:28:12,0:14:00,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:28:42,0:14:30,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:29:12,0:15:00,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:29:42,0:15:30,,,,,0:00:30,,,
H01T1,Hypothesis,2,0:30:12,0:16:00,,,,,0:00:07,,,
