Session,Timestamp,ThisStep,NextStep
H01T1,0:01:21,S2,S6
H01T1,0:01:30,S6,S2
H01T1,0:07:00,S2,S4
H01T1,0:08:14,S4,S5
H01T1,0:08:18,S5,S6
H01T1,0:09:00,S6,S2
H01T1,0:10:00,S2,S4
H01T1,0:12:30,S4,S3
H01T1,0:12:45,S3,S4
H01T1,0:16:07,S4,S5
H01T1,0:16:11,S5,S6
H01T1,0:16:30,S6,S4
H01T1,0:17:00,S4,S5
H01T1,0:17:04,S5,S6
H01T1,0:17:54,S6,S4
H01T1,0:22:34,S4,S5
H01T1,0:22:47,S5,S6
H01T1,0:23:25,S6,S4
H01T1,0:24:10,S4,S5
H01T1,0:24:15,S5,S7
H01T1,0:25:19,S7,S2
H01T1,0:25:51,S2,S6
H01T1,0:26:16,S6,S4
H01T2,0:01:56,S2,S6
H01T2,0:02:00,S6,S2
H01T2,0:03:42,S2,S3
H01T2,0:04:00,S3,S2
H01T2,0:04:19,S2,S4
H01T2,0:06:28,S4,S5
H01T2,0:06:30,S5,S6
H01T2,0:06:41,S6,S2
H01T2,0:07:00,S2,S4
H01T2,0:07:22,S4,S2
H01T2,0:08:30,S2,S4
H01T2,0:10:30,S4,S2
H01T2,0:11:19,S2,S4
H01T2,0:11:30,S4,S2
H01T2,0:12:00,S2,S4
H01T2,0:12:20,S4,S2
H01T2,0:16:35,S2,S4
H01T2,0:17:00,S4,S3
H01T2,0:17:18,S3,S4
H01T2,0:17:30,S4,S3
H01T2,0:17:43,S3,S4
H01T2,0:19:00,S4,S3
H01T2,0:19:17,S3,S5
H01T2,0:19:21,S5,S6
H01T2,0:19:25,S6,S4
H01T2,0:19:30,S4,S2
H01T2,0:20:15,S2,S4
H01T2,0:20:50,S4,S5
H01T2,0:20:54,S5,S6
H01T2,0:21:00,S6,S7
H01T2,0:23:22,S7,S2
H01T2,0:25:00,S2,S3
H01T2,0:25:47,S3,S4
H01T2,0:28:37,S4,S2
H01T2,0:28:50,S2,S4
H01T2,0:30:30,S4,S3
H02T1,0:00:56,S2,S3
H02T1,0:01:07,S3,S2
H02T1,0:01:56,S2,S5
H02T1,0:02:00,S5,S6
H02T1,0:02:17,S6,S5
H02T1,0:02:21,S5,S6
H02T1,0:02:51,S6,S2
H02T1,0:03:16,S2,S5
H02T1,0:03:17,S5,S6
H02T1,0:06:00,S6,S3
H02T1,0:06:18,S3,S4
H02T1,0:06:29,S4,S5
H02T1,0:06:30,S5,S7
H02T1,0:07:00,S7,S4
H02T1,0:07:30,S4,S2
H02T2,0:03:44,S2,S6
H02T2,0:03:55,S6,S4
H02T2,0:04:13,S4,S5
H02T2,0:04:16,S5,S6
H02T2,0:04:30,S6,S4
H02T2,0:04:51,S4,S5
H02T2,0:04:52,S5,S6
H02T2,0:05:00,S6,S4
H02T2,0:05:07,S4,S5
H02T2,0:05:08,S5,S6
H02T2,0:05:11,S6,S4
H02T2,0:05:32,S4,S5
H02T2,0:05:35,S5,S6
H02T2,0:05:46,S6,S2
H02T2,0:06:10,S2,S4
H02T2,0:06:14,S4,S5
H02T2,0:06:15,S5,S6
H02T2,0:06:17,S6,S4
H02T2,0:06:25,S4,S5
H02T2,0:06:26,S5,S6
H02T2,0:06:30,S6,S4
H02T2,0:06:48,S4,S2
H02T2,0:07:14,S2,S5
H02T2,0:07:15,S5,S6
H02T2,0:07:30,S6,S4
H02T2,0:07:45,S4,S5
H02T2,0:07:47,S5,S6
H02T2,0:07:53,S6,S4
H02T2,0:07:55,S4,S5
H02T2,0:07:57,S5,S6
H02T2,0:08:05,S6,S2
