Session,Timestamp,ThisStep,NextStep
P16T6A,0:00,S2,S7
P16T6A,0:19,S7,S2
P16T6A,1:30,S2,S3
P16T6A,2:30,S3,S4
P16T6A,2:31,S4,S5
P16T6A,2:41,S5,S6
P16T6A,2:42,S6,S3
P16T6A,2:46,S3,S4
P16T6A,2:47,S4,S5
P16T6A,2:52,S5,S6
P16T6A,2:53,S6,S7
P16T6A,2:56,S7,S3
P16T6A,3:00,S3,S4
P16T6A,3:01,S4,S5
P16T6A,3:02,S5,S6
P16T6A,3:04,S6,S3
P16T6A,3:16,S3,S4
P16T6A,3:21,S4,S5
P16T6A,3:26,S5,S6
P16T6A,3:30,S6,S3
P16T6A,4:30,S3,S4
P16T6A,4:31,S4,S5
P16T6A,4:37,S5,S6
P16T6A,4:41,S6,S7
P16T6A,5:00,S7,S6
P16T6A,5:30,S6,S3
P16T6A,5:39,S3,S4
P16T6A,5:40,S4,S5
P16T6A,5:47,S5,S6
P16T6A,5:49,S6,S2
P16T6A,6:00,S2,S3
P16T6A,6:12,S3,S4
P16T6A,6:30,S4,S5
P37T3A,0:30,S2,S7
P37T3A,2:00,S7,S3
P37T3A,2:00,S3,S4
P37T3A,2:00,S4,S5
P37T3A,2:00,S5,S6
P22T2A,0:30,S2,S4
P22T2A,1:30,S4,S5
P22T2A,1:35,S5,S6
P22T2A,1:40,S6,S7
P22T2A,1:55,S7,S3
P22T2A,2:00,S3,S4
P22T2A,2:30,S4,S5
P22T2A,2:36,S5,S6
P22T2A,2:38,S6,S7
P22T2A,3:00,S7,S3
P22T2A,3:30,S3,S4
P22T2A,3:38,S4,S5
P22T2A,3:48,S5,S6
P22T2A,3:49,S6,S3
P22T2A,4:00,S3,S4
P22T2A,4:08,S4,S5
P22T2A,4:23,S5,S6
P22T2A,4:27,S6,S2
P22T2A,5:00,S2,S3
P22T2A,5:30,S3,S4
P22T2A,6:00,S4,S5
P22T2A,6:16,S5,S6
P22T2A,6:22,S6,S2
P22T2A,7:00,S2,S3
P22T2A,8:00,S3,S4
P22T2A,8:30,S4,S5
P22T2A,8:34,S5,S6
P22T2A,8:38,S6,S4
P22T2A,8:51,S4,S5
P16T2A,2:30,S2,S3
P16T2A,3:00,S3,S7
P16T2A,3:04,S7,S3
P16T2A,3:30,S3,S4
P16T2A,3:31,S4,S5
P16T2A,3:57,S5,S7
P16T2A,4:00,S7,S3
P16T2A,5:30,S3,S4
P16T2A,5:32,S4,S5
P16T2A,5:54,S5,S6
P16T2A,5:58,S6,S3
P16T2A,7:30,S3,S4
P16T2A,7:31,S4,S5
P16T2A,7:36,S5,S6
P16T2A,7:43,S6,S3
P16T2A,7:46,S3,S4
P16T2A,7:56,S4,S5
P16T2A,7:59,S5,S6
P16T2A,8:30,S6,S3
P16T2A,8:38,S3,S4
P16T2A,8:40,S4,S5
P16T2A,8:45,S5,S6
P21T1J,1:30,S2,S4
P21T1J,2:00,S4,S5
P21T1J,2:30,S5,S6
P21T1J,2:39,S6,S2
P21T1J,3:00,S2,S4
P21T1J,3:30,S4,S5
P21T1J,3:50,S5,S6
P21T1J,3:55,S6,S5
P21T1J,4:00,S5,S6
P21T1J,4:04,S6,S4
P21T1J,4:30,S4,S5
P37T2J,0:00,S2,S4
P37T2J,0:30,S4,S6
P37T2J,1:34,S6,S7
P37T2J,1:55,S7,S4
P37T2J,2:00,S4,S3
P37T2J,2:30,S3,S4
P37T2J,5:00,S4,S5
P37T2J,5:21,S5,S6
P35T2J,0:00,S2,S4
P35T2J,1:00,S4,S2
P35T2J,1:07,S2,S4
P35T2J,1:17,S4,S5
P35T2J,1:23,S5,S6
P35T2J,1:30,S6,S2
P35T2J,2:00,S2,S4
P35T2J,2:11,S4,S5
P35T2J,2:15,S5,S6
P35T2J,2:22,S6,S7
P35T2J,2:30,S7,S2
P35T2J,3:30,S2,S4
P35T2J,4:00,S4,S5
P35T2J,4:38,S5,S6
P35T2J,4:45,S6,S7
P35T2J,4:50,S7,S5
P35T2J,5:08,S5,S6
P35T2J,5:16,S6,S2
P35T2J,5:30,S2,S4
P35T2J,6:00,S4,S2
P35T2J,6:30,S2,S5
P35T2J,7:00,S5,S6
P35T2J,7:03,S6,S5
P35T2J,7:15,S5,S6
P35T2J,7:22,S6,S7
P35T2J,7:30,S7,S2
P35T2J,7:34,S2,S4
P35T2J,8:30,S4,S5
P35T2J,9:00,S5,S6
P35T2J,9:10,S6,S4
P35T2J,9:30,S4,S5
P35T2J,9:43,S5,S6
P35T2J,9:47,S6,S2
P35T2J,10:30,S2,S4
P35T2J,10:48,S4,S5
P35T2J,11:00,S5,S6
P35T2J,11:02,S6,S7
P35T2J,11:06,S7,S4
P35T2J,11:07,S4,S5
P35T2J,11:15,S5,S6
P35T2J,11:20,S6,S4
P35T2J,11:30,S4,S5
